ldsId,passageTime,passagetimeMs,loopPairId,startLoop,endLoop,vehicleLength,vehicleSpeed
1537,1643081796,979,2,3,4,421,128
1537,1643081807,983,3,5,6,424,93
1537,1643081808,206,1,1,2,446,124
1537,1643081812,812,2,3,4,477,123
1537,1643081820,877,3,5,6,407,92
1537,1643081826,708,3,5,6,415,125
1537,1643081848,496,3,5,6,444,122
1537,1643081860,232,3,5,6,449,119
1537,1643081903,115,3,5,6,395,93
1537,1643081915,859,2,3,4,442,123
1537,1643081948,719,2,3,4,454,128
1537,1643081949,28,3,5,6,391,121
1537,1643081952,572,1,1,2,363,128
1537,1643081992,834,3,5,6,340,89
1537,1643082010,728,1,1,2,355,105
1537,1643082011,873,2,3,4,1098,81
1537,1643082038,350,2,3,4,355,127
1537,1643082041,98,3,5,6,1628,80
1537,1643082049,937,2,3,4,419,137
1537,1643082054,488,2,3,4,375,107
1537,1643082054,820,3,5,6,458,112
1537,1643082089,694,3,5,6,353,106
1537,1643082114,640,3,5,6,373,122
1537,1643082128,899,3,5,6,440,116
1537,1643082133,94,2,3,4,491,105
1537,1643082136,702,2,3,4,440,128
1537,1643082175,489,2,3,4,461,126
1537,1643082191,235,3,5,6,423,92
1537,1643082197,483,2,3,4,1594,91
1537,1643082222,778,3,5,6,386,104
1537,1643082237,26,3,5,6,410,126
1537,1643082259,245,3,5,6,361,113
1537,1643082261,457,3,5,6,393,109
1537,1643082270,174,2,3,4,444,112
1537,1643082294,415,2,3,4,336,107
1537,1643082304,436,3,5,6,350,121
1537,1643082306,806,3,5,6,393,112
1537,1643082315,353,2,3,4,342,108
1537,1643082335,326,3,5,6,343,107
1537,1643082343,690,3,5,6,403,110
1537,1643082345,86,3,5,6,353,116
1537,1643082346,288,3,5,6,455,114
1537,1643082354,538,3,5,6,427,105
1537,1643082371,594,2,3,4,1716,82
1537,1643082376,373,3,5,6,412,123
1537,1643082387,463,2,3,4,417,105
1537,1643082393,144,2,3,4,1741,84
1537,1643082393,261,1,1,2,426,129
1537,1643082408,755,3,5,6,385,81
1537,1643082424,986,3,5,6,368,107
1537,1643082431,383,3,5,6,439,118
1537,1643082436,622,3,5,6,337,106
1537,1643082461,646,3,5,6,322,106
1537,1643082471,261,2,3,4,359,118
1537,1643082481,381,2,3,4,386,114
1537,1643082485,6,2,3,4,402,113
1537,1643082504,73,2,3,4,479,96
1537,1643082517,137,2,3,4,356,113
1537,1643082531,649,2,3,4,609,107
1537,1643082533,399,3,5,6,406,87
1537,1643082537,398,3,5,6,350,102
1537,1643082562,935,3,5,6,455,115
1537,1643082573,1,3,5,6,382,104
1537,1643082606,625,3,5,6,407,114
1537,1643082619,887,3,5,6,338,89
1537,1643082653,810,3,5,6,376,107
1537,1643082663,612,2,3,4,313,95
1537,1643082694,966,3,5,6,392,102
1537,1643082712,806,2,3,4,465,123
1537,1643082726,26,2,3,4,426,109
1537,1643082727,951,2,3,4,341,117
1537,1643082728,138,3,5,6,419,76
1537,1643082732,624,3,5,6,698,101
1537,1643082759,490,3,5,6,374,112
1537,1643082767,113,3,5,6,413,96
1537,1643082769,221,3,5,6,382,106
1537,1643082781,697,3,5,6,460,75
1537,1643082782,115,2,3,4,448,135
1537,1643082786,833,2,3,4,349,130
1537,1643082788,886,1,1,2,377,119
1537,1643082789,916,2,3,4,1678,89
1537,1643082810,60,2,3,4,388,96
1537,1643082831,634,3,5,6,430,95
1537,1643082834,7,2,3,4,356,98
1537,1643082845,752,3,5,6,492,71
1537,1643082846,85,2,3,4,370,94
1537,1643082852,290,3,5,6,776,105
1537,1643082863,883,2,3,4,330,114
1537,1643082865,910,3,5,6,451,128
1537,1643082871,308,3,5,6,404,93
1537,1643082872,455,2,3,4,379,113
1537,1643082883,163,3,5,6,435,89
1537,1643082910,845,3,5,6,404,100
1537,1643082925,387,3,5,6,441,116
1537,1643082940,976,3,5,6,331,111
1537,1643082945,727,3,5,6,353,120
1537,1643082949,968,2,3,4,456,109
1537,1643082957,500,2,3,4,326,115
1537,1643082962,266,2,3,4,607,132
1537,1643082978,815,3,5,6,417,112
1537,1643082989,23,2,3,4,383,109
1537,1643082999,389,2,3,4,424,102
1537,1643082999,465,3,5,6,479,113
1537,1643083004,140,3,5,6,480,124
1537,1643083012,168,2,3,4,511,108
1537,1643083030,370,2,3,4,391,120
1537,1643083085,552,2,3,4,433,99
1537,1643083086,739,3,5,6,450,118
1537,1643083099,899,2,3,4,339,113
1537,1643083105,900,2,3,4,503,108
1537,1643083112,75,3,5,6,663,107
1537,1643083179,648,2,3,4,1057,86
1537,1643083192,943,1,1,2,456,114
1537,1643083194,288,2,3,4,1402,86
1537,1643083210,769,2,3,4,366,124
1537,1643083254,51,1,1,2,357,129
1537,1643083254,993,2,3,4,383,95
1537,1643083260,496,2,3,4,431,124
1537,1643083316,855,2,3,4,399,110
1537,1643083319,790,2,3,4,425,113
1537,1643083330,478,3,5,6,1706,73
1537,1643083347,836,2,3,4,333,103
1537,1643083348,548,1,1,2,611,117
1537,1643083364,701,3,5,6,417,102
1537,1643083381,283,2,3,4,374,105
1537,1643083390,415,2,3,4,364,90
1537,1643083392,72,3,5,6,435,105
1537,1643083395,196,2,3,4,418,124
1537,1643083404,263,2,3,4,405,146
1537,1643083431,518,2,3,4,434,121
1537,1643083432,645,3,5,6,424,94
1537,1643083441,560,2,3,4,427,106
1537,1643083444,383,2,3,4,339,105
1537,1643083450,741,2,3,4,944,82
1537,1643083477,631,3,5,6,365,98
1537,1643083482,380,3,5,6,453,83
1537,1643083483,622,3,5,6,492,92
1537,1643083484,712,2,3,4,452,98
1537,1643083484,777,1,1,2,455,114
1537,1643083497,19,2,3,4,553,125
1537,1643083499,662,2,3,4,384,118
1537,1643083503,799,3,5,6,702,123
1537,1643083513,596,1,1,2,406,110
1537,1643083513,746,2,3,4,1604,83
1537,1643083519,907,2,3,4,370,91
1537,1643083526,148,2,3,4,435,111
1537,1643083543,64,2,3,4,431,97
1537,1643083545,947,2,3,4,716,105
1537,1643083558,516,2,3,4,139,96
1537,1643083558,539,1,1,2,170,92
1537,1643083560,358,2,3,4,362,102
1537,1643083560,975,3,5,6,601,64
1537,1643083583,153,2,3,4,422,130
1537,1643083583,859,2,3,4,310,121
1537,1643083597,577,2,3,4,530,132
1537,1643083606,961,2,3,4,373,115
1537,1643083607,937,2,3,4,417,123
1537,1643083621,854,3,5,6,386,134
1537,1643083647,876,2,3,4,339,117
1537,1643083648,834,1,1,2,367,126
1537,1643083651,146,1,1,2,390,114
1537,1643083651,906,2,3,4,1862,85
1537,1643083654,167,3,5,6,333,104
1537,1643083655,854,2,3,4,433,108
1537,1643083656,366,1,1,2,382,109
1537,1643083659,588,2,3,4,382,112
1537,1643083669,925,3,5,6,525,114
1537,1643083671,777,2,3,4,407,112
1537,1643083693,361,3,5,6,347,116
1537,1643083705,650,3,5,6,411,116
1537,1643083709,404,2,3,4,437,118
1537,1643083714,165,1,1,2,520,136
1537,1643083714,949,3,5,6,400,112
1537,1643083718,148,2,3,4,326,139
1537,1643083725,588,2,3,4,1057,97
1537,1643083730,553,2,3,4,365,122
1537,1643083751,113,2,3,4,372,103
1537,1643083754,869,2,3,4,409,98
1537,1643083755,934,3,5,6,367,91
